#MJD,flux_lag_1,flux_lag_2,flux_lag_3,flux_rolling_mean_3,flux_rolling_std_3,index_lag_1,index_lag_2,index_lag_3,index_rolling_mean_3,index_rolling_std_3
54721.5,5.49e-08,6.41e-08,7.45e-08,0.0,0.0,2.38,2.06,2.65,2.19,0.17
54728.5,7.17e-08,5.49e-08,6.41e-08,0.0,0.0,2.13,2.38,2.06,2.49,0.42
54749.5,1.79e-07,7.17e-08,5.49e-08,0.0,0.0,2.95,2.13,2.38,2.59,0.42
54756.5,1.2e-07,1.79e-07,7.17e-08,0.0,0.0,2.69,2.95,2.13,3.55,1.27
54791.5,7.86e-08,1.2e-07,1.79e-07,0.0,0.0,5.0,2.69,2.95,3.87,1.16
54798.5,1.06e-07,7.86e-08,1.2e-07,0.0,0.0,3.91,5.0,2.69,3.88,1.14
54812.5,7.46e-08,1.06e-07,7.86e-08,0.0,0.0,2.73,3.91,5.0,3.32,0.59
54819.5,1.27e-07,7.46e-08,1.06e-07,0.0,0.0,3.31,2.73,3.91,2.6,0.79
54826.5,7.1e-08,1.27e-07,7.46e-08,0.0,0.0,1.75,3.31,2.73,2.37,0.83
54833.49998842592,5.96e-08,7.1e-08,1.27e-07,0.0,0.0,2.05,1.75,3.31,2.03,0.27
54840.49998842592,7.64e-08,5.96e-08,7.1e-08,0.0,0.0,2.29,2.05,1.75,2.3,0.26
54847.49998842592,1.2e-07,7.64e-08,5.96e-08,0.0,0.0,2.57,2.29,2.05,2.47,0.15
54854.49998842592,1.19e-07,1.2e-07,7.64e-08,0.0,0.0,2.54,2.57,2.29,2.57,0.03
54861.49998842592,9.75e-08,1.19e-07,1.2e-07,0.0,0.0,2.6,2.54,2.57,2.59,0.04
54868.49998842592,1.5e-07,9.75e-08,1.19e-07,0.0,0.0,2.62,2.6,2.54,2.43,0.31
54875.49998842592,1.56e-07,1.5e-07,9.75e-08,0.0,0.0,2.07,2.62,2.6,2.31,0.28
54882.49998842592,2.18e-07,1.56e-07,1.5e-07,0.0,0.0,2.24,2.07,2.62,2.24,0.17
54889.49998842592,1.45e-07,2.18e-07,1.56e-07,0.0,0.0,2.41,2.24,2.07,2.65,0.58
54896.49998842592,2.04e-07,1.45e-07,2.18e-07,0.0,0.0,3.31,2.41,2.24,2.7,0.53
54910.49998842592,1.88e-07,2.04e-07,1.45e-07,0.0,0.0,2.39,3.31,2.41,2.73,0.5
54917.49998842592,1.95e-07,1.88e-07,2.04e-07,0.0,0.0,2.49,2.39,3.31,2.33,0.2
