#MJD,flux_target_1d,flux_target_2d
54721.5,1.79e-07,1.2e-07
54728.5,1.2e-07,7.86e-08
54749.5,7.86e-08,1.06e-07
54756.5,1.06e-07,7.46e-08
54791.5,7.46e-08,1.27e-07
54798.5,1.27e-07,7.1e-08
54812.5,7.1e-08,5.96e-08
54819.5,5.96e-08,7.64e-08
54826.5,7.64e-08,1.2e-07
54833.49998842592,1.2e-07,1.19e-07
54840.49998842592,1.19e-07,9.75e-08
54847.49998842592,9.75e-08,1.5e-07
54854.49998842592,1.5e-07,1.56e-07
54861.49998842592,1.56e-07,2.18e-07
54868.49998842592,2.18e-07,1.45e-07
54875.49998842592,1.45e-07,2.04e-07
54882.49998842592,2.04e-07,1.88e-07
54889.49998842592,1.88e-07,1.95e-07
54896.49998842592,1.95e-07,1.85e-07
54910.49998842592,1.85e-07,9.32e-08
54917.49998842592,9.32e-08,1.49e-07
54924.49998842592,1.49e-07,5.69e-08
54931.49998842592,5.69e-08,1.23e-07
54938.49998842592,1.23e-07,7.01e-08
55078.49998842592,7.01e-08,9e-08
55085.49998842592,9e-08,1.43e-07
55106.49998842592,1.43e-07,1.23e-07
55113.49998842592,1.23e-07,1.03e-07
55134.49998842592,1.03e-07,8.56e-08
55148.49998842592,8.56e-08,8.51e-08
55155.49998842592,8.51e-08,5.97e-08
55183.49998842592,5.97e-08,7.13e-08
55232.49998842592,7.13e-08,1.17e-07
55246.49998842592,1.17e-07,7.53e-08
55344.49998842592,7.53e-08,1.18e-07
55372.49998842592,1.18e-07,6.04e-08
55386.49998842592,6.04e-08,7.52e-08
55393.49998842592,7.52e-08,8.58e-08
55421.49998842592,8.58e-08,5.76e-08
55428.49998842592,5.76e-08,2.49e-07
55449.49998842592,2.49e-07,5.11e-07
55456.49998842592,5.11e-07,1.27e-07
55463.49998842592,1.27e-07,1.5e-07
55470.49998842592,1.5e-07,1.42e-07
55477.49998842592,1.42e-07,1.48e-07
55491.49998842592,1.48e-07,6.59e-08
55547.49998842592,6.59e-08,6.02e-08
55589.49998842592,6.02e-08,1.67e-07
55673.49998842592,1.67e-07,1.6e-07
55813.49998842592,1.6e-07,9.23e-08
55855.49998842592,9.23e-08,6.76e-08
55883.49998842592,6.76e-08,2.5e-07
55911.49998842592,2.5e-07,7.3e-08
55918.49998842592,7.3e-08,6.91e-08
55925.49998842592,6.91e-08,1.35e-07
55932.49998842592,1.35e-07,1.08e-07
55960.49998842592,1.08e-07,1.1e-07
55974.49998842592,1.1e-07,1.8e-07
55981.49998842592,1.8e-07,6.24e-08
55988.49998842592,6.24e-08,1.15e-07
55995.49998842592,1.15e-07,5.3e-08
56009.49998842592,5.3e-08,8.49e-08
56016.49998842592,8.49e-08,8.17e-08
56030.49998842592,8.17e-08,8.13e-08
56044.49998842592,8.13e-08,7.75e-08
56051.49998842592,7.75e-08,1.66e-07
56058.49998842592,1.66e-07,5.46e-08
56072.49998842592,5.46e-08,5.64e-08
56079.49998842592,5.64e-08,1.5e-07
56100.49998842592,1.5e-07,1.1e-07
56121.499976851854,1.1e-07,9.92e-08
56226.499976851854,9.92e-08,1.34e-07
56352.499976851854,1.34e-07,8.24e-08
56359.499976851854,8.24e-08,8.78e-08
56373.499976851854,8.78e-08,8.17e-08
56380.499976851854,8.17e-08,1.24e-07
56415.499976851854,1.24e-07,7.82e-08
56429.499976851854,7.82e-08,5.14e-08
56471.499976851854,5.14e-08,9.68e-08
56478.499976851854,9.68e-08,9.26e-08
56492.499976851854,9.26e-08,8.93e-08
56506.499976851854,8.93e-08,1.24e-07
56513.499976851854,1.24e-07,5.12e-08
56520.499976851854,5.12e-08,7.14e-08
56527.499976851854,7.14e-08,9.08e-08
56541.499976851854,9.08e-08,2.2e-07
56562.499976851854,2.2e-07,1.19e-07
56653.499976851854,1.19e-07,1.45e-07
56674.499976851854,1.45e-07,1.53e-07
56709.499976851854,1.53e-07,1.34e-07
56716.499976851854,1.34e-07,5.98e-08
56723.499976851854,5.98e-08,8.42e-08
56737.499976851854,8.42e-08,8.67e-08
56975.499976851854,8.67e-08,9.94e-08
56982.499976851854,9.94e-08,8.39e-08
57017.499976851854,8.39e-08,8.15e-08
57059.499976851854,8.15e-08,1.03e-07
57066.499976851854,1.03e-07,9.85e-08
57073.499976851854,9.85e-08,6.49e-08
57108.499976851854,6.49e-08,7.47e-08
57115.499976851854,7.47e-08,7.22e-08
57178.499976851854,7.22e-08,8.11e-08
57192.499976851854,8.11e-08,1.95e-07
57199.499976851854,1.95e-07,1.44e-07
57206.49996527778,1.44e-07,1.44e-07
57213.49996527778,1.44e-07,2.24e-07
57220.49996527778,2.24e-07,1.29e-07
57227.49996527778,1.29e-07,1.45e-07
57234.49996527778,1.45e-07,1.82e-07
57241.49996527778,1.82e-07,1.6e-07
57248.49996527778,1.6e-07,1.56e-07
57255.49996527778,1.56e-07,1.17e-07
57262.49996527778,1.17e-07,8.69e-08
57269.49996527778,8.69e-08,5.77e-08
57276.49996527778,5.77e-08,9.12e-08
57283.49996527778,9.12e-08,5.42e-08
57311.49996527778,5.42e-08,1.77e-07
57318.49996527778,1.77e-07,1.73e-07
57339.49996527778,1.73e-07,1.24e-07
57360.49996527778,1.24e-07,1.1e-07
57367.49996527778,1.1e-07,2.47e-07
57374.49996527778,2.47e-07,2.86e-07
57381.49996527778,2.86e-07,6.14e-07
57388.49996527778,6.14e-07,6.59e-07
57395.49996527778,6.59e-07,3.59e-07
57402.49996527778,3.59e-07,1.58e-07
57409.49996527778,1.58e-07,2.08e-07
57416.49996527778,2.08e-07,1.71e-07
57423.49996527778,1.71e-07,1.6e-07
57430.49996527778,1.6e-07,1.42e-07
57437.49996527778,1.42e-07,1.09e-07
57444.49996527778,1.09e-07,2.17e-07
57451.49996527778,2.17e-07,6.74e-08
57465.49996527778,6.74e-08,6.54e-08
57472.49996527778,6.54e-08,9.49e-08
57486.49996527778,9.49e-08,5.63e-08
57493.49996527778,5.63e-08,1.95e-07
57514.49996527778,1.95e-07,2.31e-07
57521.49996527778,2.31e-07,1.15e-07
57528.49996527778,1.15e-07,1.2e-07
57535.49996527778,1.2e-07,9.45e-08
57542.49996527778,9.45e-08,1.76e-07
57549.49996527778,1.76e-07,9.39e-08
57563.49996527778,9.39e-08,5.21e-08
57570.49996527778,5.21e-08,2.41e-07
57584.49996527778,2.41e-07,7.84e-08
57619.49996527778,7.84e-08,8e-08
57640.49996527778,8e-08,6.2e-08
57654.49996527778,6.2e-08,2.09e-07
57745.49996527778,2.09e-07,1.03e-07
57773.4999537037,1.03e-07,7.95e-08
57836.4999537037,7.95e-08,1.18e-07
57843.4999537037,1.18e-07,1.91e-07
57850.4999537037,1.91e-07,7.34e-08
57871.4999537037,7.34e-08,6.29e-08
57885.4999537037,6.29e-08,6.31e-08
57955.4999537037,6.31e-08,5.36e-08
57997.4999537037,5.36e-08,5.25e-08
58004.4999537037,5.25e-08,9.04e-08
58011.4999537037,9.04e-08,8.27e-08
58116.4999537037,8.27e-08,6.68e-08
58123.4999537037,6.68e-08,6.06e-08
58228.4999537037,6.06e-08,2.37e-07
58235.4999537037,2.37e-07,1.65e-07
58438.4999537037,1.65e-07,1.01e-07
58445.4999537037,1.01e-07,1.32e-07
58473.4999537037,1.32e-07,6.36e-08
58487.4999537037,6.36e-08,1.12e-07
58515.4999537037,1.12e-07,1.52e-07
58613.4999537037,1.52e-07,7.96e-08
58627.4999537037,7.96e-08,1.91e-07
58767.4999537037,1.91e-07,1.15e-07
58774.4999537037,1.15e-07,6.64e-08
58788.4999537037,6.64e-08,1.11e-07
58879.4999537037,1.11e-07,1.25e-07
58886.4999537037,1.25e-07,9.46e-08
58893.4999537037,9.46e-08,7.26e-08
58900.4999537037,7.26e-08,6.83e-08
58914.4999537037,6.83e-08,9.33e-08
58921.4999537037,9.33e-08,7.71e-08
59019.4999537037,7.71e-08,8.19e-08
59082.4999537037,8.19e-08,6.52e-08
59089.4999537037,6.52e-08,7.01e-08
59096.4999537037,7.01e-08,2.02e-07
59117.4999537037,2.02e-07,1.04e-07
59131.4999537037,1.04e-07,5.86e-08
59138.4999537037,5.86e-08,7.61e-08
59145.4999537037,7.61e-08,5.43e-08
59166.4999537037,5.43e-08,6.65e-08
59180.4999537037,6.65e-08,1.03e-07
59194.4999537037,1.03e-07,1.22e-07
59208.4999537037,1.22e-07,1.86e-07
59229.4999537037,1.86e-07,1.27e-07
59236.4999537037,1.27e-07,1.15e-07
59243.4999537037,1.15e-07,5.71e-08
59250.4999537037,5.71e-08,7.89e-08
59264.4999537037,7.89e-08,1.08e-07
59271.4999537037,1.08e-07,1.33e-07
59278.4999537037,1.33e-07,7.95e-08
59285.4999537037,7.95e-08,1.78e-07
59299.4999537037,1.78e-07,1.48e-07
59313.4999537037,1.48e-07,4.06e-07
59320.4999537037,4.06e-07,3.82e-07
59341.4999537037,3.82e-07,2.52e-07
59348.4999537037,2.52e-07,5.85e-07
59355.4999537037,5.85e-07,1.31e-07
59362.4999537037,1.31e-07,1.05e-07
59369.4999537037,1.05e-07,7.32e-08
59376.4999537037,7.32e-08,1.02e-07
59383.4999537037,1.02e-07,1.03e-07
59390.4999537037,1.03e-07,6.93e-08
59397.4999537037,6.93e-08,1.22e-07
59404.4999537037,1.22e-07,1.14e-07
59418.4999537037,1.14e-07,7.85e-08
59425.4999537037,7.85e-08,7.65e-08
59537.4999537037,7.65e-08,6.16e-08
59579.4999537037,6.16e-08,6.31e-08
59586.4999537037,6.31e-08,6.99e-08
59593.4999537037,6.99e-08,1.43e-07
59600.4999537037,1.43e-07,1.63e-07
59656.4999537037,1.63e-07,1.35e-07
59663.4999537037,1.35e-07,1.54e-07
59670.4999537037,1.54e-07,1.24e-07
59684.4999537037,1.24e-07,7.74e-08
59740.4999537037,7.74e-08,8.81e-08
59754.4999537037,8.81e-08,5.66e-08
59775.4999537037,5.66e-08,6.54e-08
59782.4999537037,6.54e-08,7.38e-08
59803.4999537037,7.38e-08,1.41e-07
59824.4999537037,1.41e-07,1.19e-07
59838.4999537037,1.19e-07,9.99e-08
59845.4999537037,9.99e-08,5.91e-08
59880.4999537037,5.91e-08,5.73e-08
59915.4999537037,5.73e-08,8.54e-08
59922.4999537037,8.54e-08,6.95e-08
59950.4999537037,6.95e-08,5.73e-08
59964.4999537037,5.73e-08,1.1e-07
59992.4999537037,1.1e-07,8e-08
60083.4999537037,8e-08,6.64e-08
60125.4999537037,6.64e-08,6.82e-08
60132.4999537037,6.82e-08,1.66e-07
60139.4999537037,1.66e-07,7.27e-08
60146.4999537037,7.27e-08,9.69e-08
60160.4999537037,9.69e-08,7.57e-08
60167.4999537037,7.57e-08,6.99e-08
60174.4999537037,6.99e-08,7.33e-08
60181.4999537037,7.33e-08,2.87e-05
60202.4999537037,2.87e-05,1.22e-07
60230.4999537037,1.22e-07,7.77e-08
60237.4999537037,7.77e-08,6.69e-08
60258.4999537037,6.69e-08,9.59e-08
60272.4999537037,9.59e-08,1.19e-07
60279.4999537037,1.19e-07,2.52e-07
60286.4999537037,2.52e-07,1.67e-07
60293.4999537037,1.67e-07,2.58e-07
60321.4999537037,2.58e-07,5.19e-07
60335.4999537037,5.19e-07,2.26e-07
60342.4999537037,2.26e-07,2.95e-07
60349.4999537037,2.95e-07,1.89e-07
60356.4999537037,1.89e-07,2.2e-07
60363.4999537037,2.2e-07,2.34e-07
60370.4999537037,2.34e-07,3.29e-07
60377.4999537037,3.29e-07,3.82e-07
60384.4999537037,3.82e-07,1.33e-07
60391.4999537037,1.33e-07,1.2e-07
60398.4999537037,1.2e-07,1.19e-07
60405.4999537037,1.19e-07,3.8e-07
60412.4999537037,3.8e-07,1.98e-07
60419.4999537037,1.98e-07,2.42e-07
60426.4999537037,2.42e-07,2.42e-07
60447.4999537037,2.42e-07,5.28e-08
60454.4999537037,5.28e-08,1.34e-07
60468.4999537037,1.34e-07,2.43e-07
60475.4999537037,2.43e-07,3.99e-07
60482.4999537037,3.99e-07,4.92e-07
60489.4999537037,4.92e-07,4.66e-07
60496.4999537037,4.66e-07,3.02e-07
60503.4999537037,3.02e-07,1.22e-07
60510.4999537037,1.22e-07,8.88e-08
60524.4999537037,8.88e-08,6.63e-08
60531.4999537037,6.63e-08,6.54e-08
60545.4999537037,6.54e-08,1.14e-07
60573.4999537037,1.14e-07,6.23e-08
60636.4999537037,6.23e-08,2.04e-07
60650.4999537037,2.04e-07,8.89e-08
60657.4999537037,8.89e-08,7.14e-08
60664.4999537037,7.14e-08,6.76e-08
60692.4999537037,6.76e-08,6.91e-08
60699.4999537037,6.91e-08,9.82e-08
60706.4999537037,9.82e-08,1.28e-07
60720.4999537037,1.28e-07,1.78e-07
60727.4999537037,1.78e-07,1.4e-07
60734.4999537037,1.4e-07,1.49e-07
60741.4999537037,1.49e-07,2.23e-07
60748.4999537037,2.23e-07,5.49e-08
60755.4999537037,5.49e-08,2.25e-07
60762.4999537037,2.25e-07,3.74e-07
60769.4999537037,3.74e-07,4.78e-07
60776.4999537037,4.78e-07,2.06e-07
60783.4999537037,2.06e-07,1.6e-07
60790.4999537037,1.6e-07,3.58e-07
60811.4999537037,3.58e-07,1.7e-07
60818.4999537037,1.7e-07,1.16e-07
60825.4999537037,1.16e-07,2.7e-07
60832.4999537037,2.7e-07,1.13e-07
60839.4999537037,1.13e-07,8.52e-08
60846.4999537037,8.52e-08,7.38e-08
60853.4999537037,7.38e-08,7.6e-08
60860.4999537037,7.6e-08,1.1e-07
60867.4999537037,1.1e-07,1.3e-07
60874.4999537037,1.3e-07,2.29e-07
60888.4999537037,2.29e-07,3.66e-07
60895.4999537037,3.66e-07,1.96e-07
60902.4999537037,1.96e-07,7.34e-08
60909.4999537037,7.34e-08,2.56e-07
60923.4999537037,2.56e-07,8.87e-08
60930.4999537037,8.87e-08,1.03e-07
60937.4999537037,1.03e-07,8.07e-08
60944.4999537037,8.07e-08,0.0396
60951.4999537037,0.0396,7.63e-08
60965.4999537037,7.63e-08,1.59e-07
61007.4999537037,1.59e-07,7.61e-08
