#MJD,index_lag_1,index_lag_2,index_lag_3,index_lag_4,index_lag_5,index_lag_6,index_rolling_mean_7,index_rolling_std_7,flux_lag_1,flux_lag_2,flux_lag_3,flux_lag_4,flux_lag_5,flux_lag_6,flux_rolling_mean_7,flux_rolling_std_7
54959.49998842592,4.09,3.08,3.2,3.41,3.78,3.65,3.38,0.53,-7.120330794367947,-7.010550182333308,-6.94692155651658,-7.007446482167865,-7.083019952679618,-7.010995384301463,-7.03,0.06
54980.49998842592,2.47,4.09,3.08,3.2,3.41,3.78,3.38,0.53,-7.03810452633215,-7.120330794367947,-7.010550182333308,-6.94692155651658,-7.007446482167865,-7.083019952679618,-7.04,0.06
55176.49998842592,3.66,2.47,4.09,3.08,3.2,3.41,3.47,0.65,-7.041914151478915,-7.03810452633215,-7.120330794367947,-7.010550182333308,-6.94692155651658,-7.007446482167865,-7.02,0.05
55239.49998842592,4.41,3.66,2.47,4.09,3.08,3.2,3.54,0.67,-7.00788851221305,-7.041914151478915,-7.03810452633215,-7.120330794367947,-7.010550182333308,-6.94692155651658,-7.02,0.05
55309.49998842592,3.87,4.41,3.66,2.47,4.09,3.08,3.42,0.79,-6.982966660701219,-7.00788851221305,-7.041914151478915,-7.03810452633215,-7.120330794367947,-7.010550182333308,-7.04,0.04
55323.49998842592,2.38,3.87,4.41,3.66,2.47,4.09,3.6,0.84,-7.044793462458058,-6.982966660701219,-7.00788851221305,-7.041914151478915,-7.03810452633215,-7.120330794367947,-7.05,0.05
55372.49998842592,4.33,2.38,3.87,4.41,3.66,2.47,3.51,0.82,-7.103473782510445,-7.044793462458058,-6.982966660701219,-7.00788851221305,-7.041914151478915,-7.03810452633215,-7.04,0.04
55463.49998842592,3.42,4.33,2.38,3.87,4.41,3.66,3.49,0.85,-7.044793462458058,-7.103473782510445,-7.044793462458058,-6.982966660701219,-7.00788851221305,-7.041914151478915,-7.03,0.04
55575.49998842592,2.34,3.42,4.33,2.38,3.87,4.41,3.49,0.85,-6.995678626217358,-7.044793462458058,-7.103473782510445,-7.044793462458058,-6.982966660701219,-7.00788851221305,-7.04,0.04
55582.49998842592,3.68,2.34,3.42,4.33,2.38,3.87,3.51,0.88,-7.0726296369609765,-6.995678626217358,-7.044793462458058,-7.103473782510445,-7.044793462458058,-6.982966660701219,-7.03,0.05
