#MJD,index_target_1d,index_target_2d
54959.49998842592,3.66,4.41
54980.49998842592,4.41,3.87
55176.49998842592,3.87,2.38
55239.49998842592,2.38,4.33
55309.49998842592,4.33,3.42
55323.49998842592,3.42,2.34
55372.49998842592,2.34,3.68
55463.49998842592,3.68,4.57
55575.49998842592,4.57,2.37
55582.49998842592,2.37,3.15
55603.49998842592,3.15,2.62
55624.49998842592,2.62,2.46
55631.49998842592,2.46,3.28
55638.49998842592,3.28,2.49
55666.49998842592,2.49,3.0
55673.49998842592,3.0,3.48
55708.49998842592,3.48,2.98
55743.49998842592,2.98,2.27
55771.49998842592,2.27,2.72
55799.49998842592,2.72,2.52
55806.49998842592,2.52,2.58
55813.49998842592,2.58,2.73
55834.49998842592,2.73,3.51
55855.49998842592,3.51,2.74
55890.49998842592,2.74,4.37
55897.49998842592,4.37,2.58
55953.49998842592,2.58,2.38
56044.49998842592,2.38,3.29
56114.499976851854,3.29,2.8
56380.499976851854,2.8,4.94
56464.499976851854,4.94,2.93
56590.499976851854,2.93,4.37
56611.499976851854,4.37,5.25
56758.499976851854,5.25,2.87
56814.499976851854,2.87,3.41
56933.499976851854,3.41,3.12
56954.499976851854,3.12,2.47
56961.499976851854,2.47,2.23
56982.499976851854,2.23,2.09
57129.499976851854,2.09,2.16
57136.499976851854,2.16,2.15
57143.499976851854,2.15,2.49
57192.499976851854,2.49,3.85
57199.499976851854,3.85,2.25
57234.49996527778,2.25,2.26
57304.49996527778,2.26,2.36
57311.49996527778,2.36,2.69
57318.49996527778,2.69,3.15
57353.49996527778,3.15,2.68
57465.49996527778,2.68,3.92
57493.49996527778,3.92,3.53
57514.49996527778,3.53,4.41
57962.4999537037,4.41,3.91
58067.4999537037,3.91,5.43
58235.4999537037,5.43,3.9
58396.4999537037,3.9,3.59
58480.4999537037,3.59,3.8
58816.4999537037,3.8,3.19
59348.4999537037,3.19,3.88
59600.4999537037,3.88,2.52
60041.4999537037,2.52,10.0
60181.4999537037,10.0,4.91
60237.4999537037,4.91,3.04
60650.4999537037,3.04,10.0
60748.4999537037,10.0,4.78
