#MJD,index_lag_1,index_lag_2,index_lag_3,index_rolling_mean_3,index_rolling_std_3,flux_lag_1,flux_lag_2,flux_lag_3,flux_rolling_mean_3,flux_rolling_std_3
54721.5,2.38,2.06,2.65,2.19,0.17,-7.260427655549908,-7.193141970481182,-7.127843727251707,-7.2,0.06
54728.5,2.13,2.38,2.06,2.49,0.42,-7.1444808443322,-7.260427655549908,-7.193141970481182,-7.05,0.27
54749.5,2.95,2.13,2.38,2.59,0.42,-6.747146969020107,-7.1444808443322,-7.260427655549908,-6.94,0.2
54756.5,2.69,2.95,2.13,3.55,1.27,-6.920818753952375,-6.747146969020107,-7.1444808443322,-6.92,0.18
54791.5,5.0,2.69,2.95,3.87,1.16,-7.104577453960592,-6.920818753952375,-6.747146969020107,-7.0,0.09
54798.5,3.91,5.0,2.69,3.88,1.14,-6.97469413473523,-7.104577453960592,-6.920818753952375,-7.07,0.08
54812.5,2.73,3.91,5.0,3.32,0.59,-7.127261172527331,-6.97469413473523,-7.104577453960592,-7.0,0.12
54819.5,3.31,2.73,3.91,2.6,0.79,-6.896196279044043,-7.127261172527331,-6.97469413473523,-7.06,0.14
54826.5,1.75,3.31,2.73,2.37,0.83,-7.1487416512809245,-6.896196279044043,-7.127261172527331,-7.09,0.17
54833.49998842592,2.05,1.75,3.31,2.03,0.27,-7.2247537402597635,-7.1487416512809245,-6.896196279044043,-7.16,0.06
54840.49998842592,2.29,2.05,1.75,2.3,0.26,-7.11690664142431,-7.2247537402597635,-7.1487416512809245,-7.09,0.15
54847.49998842592,2.57,2.29,2.05,2.47,0.15,-6.920818753952375,-7.11690664142431,-7.2247537402597635,-6.99,0.11
54854.49998842592,2.54,2.57,2.29,2.57,0.03,-6.924453038607469,-6.920818753952375,-7.11690664142431,-6.95,0.05
54861.49998842592,2.6,2.54,2.57,2.59,0.04,-7.010995384301463,-6.924453038607469,-6.920818753952375,-6.92,0.09
54868.49998842592,2.62,2.6,2.54,2.43,0.31,-6.823908740944319,-7.010995384301463,-6.924453038607469,-6.88,0.11
54875.49998842592,2.07,2.62,2.6,2.31,0.28,-6.806875401645539,-6.823908740944319,-7.010995384301463,-6.76,0.09
54882.49998842592,2.24,2.07,2.62,2.24,0.17,-6.661543506395395,-6.806875401645539,-6.823908740944319,-6.77,0.09
54889.49998842592,2.41,2.24,2.07,2.65,0.58,-6.838631997765025,-6.661543506395395,-6.806875401645539,-6.73,0.1
54896.49998842592,3.31,2.41,2.24,2.7,0.53,-6.690369832574102,-6.838631997765025,-6.661543506395395,-6.75,0.08
54910.49998842592,2.39,3.31,2.41,2.73,0.5,-6.72584215073632,-6.690369832574102,-6.838631997765025,-6.71,0.02
54917.49998842592,2.49,2.39,3.31,2.33,0.2,-6.709965388637482,-6.72584215073632,-6.690369832574102,-6.72,0.01
54924.49998842592,2.1,2.49,2.39,2.43,0.31,-6.732828271596986,-6.709965388637482,-6.72584215073632,-6.82,0.18
54931.49998842592,2.71,2.1,2.49,2.85,0.83,-7.030584087646019,-6.732828271596986,-6.709965388637482,-6.86,0.15
54938.49998842592,3.75,2.71,2.1,3.07,0.59,-6.826813731587726,-7.030584087646019,-6.732828271596986,-7.03,0.21
55078.49998842592,2.74,3.75,2.71,3.22,0.51,-7.244887733604929,-6.826813731587726,-7.030584087646019,-6.99,0.22
55085.49998842592,3.16,2.74,3.75,2.78,0.36,-6.910094888560602,-7.244887733604929,-6.826813731587726,-7.1,0.17
55106.49998842592,2.45,3.16,2.74,2.74,0.37,-7.154281982033341,-6.910094888560602,-7.244887733604929,-7.04,0.12
55113.49998842592,2.62,2.45,3.16,2.72,0.33,-7.045757490560675,-7.154281982033341,-6.910094888560602,-7.01,0.16
55134.49998842592,3.08,2.62,2.45,2.67,0.38,-6.844663962534939,-7.045757490560675,-7.154281982033341,-6.93,0.1
55148.49998842592,2.32,3.08,2.62,2.47,0.55,-6.910094888560602,-6.844663962534939,-7.045757490560675,-6.91,0.07
55155.49998842592,2.0,2.32,3.08,2.74,1.02,-6.987162775294828,-6.910094888560602,-6.844663962534939,-6.99,0.08
55183.49998842592,3.91,2.0,2.32,2.9,0.96,-7.0675262353228465,-6.987162775294828,-6.910094888560602,-7.04,0.05
55232.49998842592,2.78,3.91,2.0,3.1,0.71,-7.070070439915412,-7.0675262353228465,-6.987162775294828,-7.12,0.09
55246.49998842592,2.6,2.78,3.91,3.46,1.34,-7.224025668870631,-7.070070439915412,-7.0675262353228465,-7.15,0.08
55344.49998842592,5.0,2.6,2.78,3.85,1.2,-7.146910470148135,-7.224025668870631,-7.070070439915412,-7.1,0.15
55372.49998842592,3.94,5.0,2.6,3.96,1.04,-6.931814138253839,-7.146910470148135,-7.224025668870631,-7.07,0.12
55386.49998842592,2.93,3.94,5.0,3.55,0.55,-7.123205023799299,-6.931814138253839,-7.146910470148135,-6.99,0.11
55393.49998842592,3.79,2.93,3.94,3.05,0.69,-6.928117992693875,-7.123205023799299,-6.931814138253839,-7.09,0.15
55421.49998842592,2.42,3.79,2.93,2.94,0.74,-7.218963061378868,-6.928117992693875,-7.123205023799299,-7.09,0.15
55428.49998842592,2.61,2.42,3.79,2.51,0.1,-7.123782159408358,-7.218963061378868,-6.928117992693875,-7.14,0.08
55449.49998842592,2.49,2.61,2.42,2.35,0.35,-7.066512712151295,-7.123782159408358,-7.218963061378868,-7.14,0.09
55456.49998842592,1.95,2.49,2.61,2.17,0.29,-7.239577516576788,-7.066512712151295,-7.123782159408358,-6.97,0.33
55463.49998842592,2.06,1.95,2.49,1.95,0.11,-6.603800652904264,-7.239577516576788,-7.066512712151295,-6.71,0.48
55470.49998842592,1.84,2.06,1.95,2.0,0.14,-6.291579099865287,-6.603800652904264,-7.239577516576788,-6.6,0.3
55477.49998842592,2.1,1.84,2.06,2.15,0.34,-6.896196279044043,-6.291579099865287,-6.603800652904264,-6.67,0.33
55491.49998842592,2.51,2.1,1.84,2.63,0.6,-6.823908740944319,-6.896196279044043,-6.291579099865287,-6.86,0.04
55547.49998842592,3.29,2.51,2.1,3.21,0.67,-6.847711655616943,-6.823908740944319,-6.896196279044043,-6.83,0.01
55589.49998842592,3.84,3.29,2.51,3.24,0.63,-6.8297382846050425,-6.847711655616943,-6.823908740944319,-6.95,0.2
55673.49998842592,2.59,3.84,3.29,3.12,0.65,-7.18111458540599,-6.8297382846050425,-6.847711655616943,-7.08,0.22
55813.49998842592,2.93,2.59,3.84,2.91,0.31,-7.220403508742176,-7.18111458540599,-6.8297382846050425,-7.06,0.25
55855.49998842592,3.21,2.93,2.59,3.09,0.14,-6.777283528852417,-7.220403508742176,-7.18111458540599,-6.93,0.25
55883.49998842592,3.12,3.21,2.93,3.32,0.27,-6.795880017344075,-6.777283528852417,-7.220403508742176,-6.87,0.14
55911.49998842592,3.62,3.12,3.21,3.03,0.64,-7.034798298974088,-6.795880017344075,-6.777283528852417,-7.0,0.19
55918.49998842592,2.35,3.62,3.12,2.88,0.66,-7.1700533040583645,-7.034798298974088,-6.795880017344075,-6.94,0.3
55925.49998842592,2.68,2.35,3.62,2.28,0.44,-6.6020599913279625,-7.1700533040583645,-7.034798298974088,-6.97,0.32
55932.49998842592,1.81,2.68,2.35,2.35,0.47,-7.136677139879544,-6.6020599913279625,-7.1700533040583645,-6.97,0.32
55960.49998842592,2.55,1.81,2.68,2.08,0.41,-7.1605219526258015,-7.136677139879544,-6.6020599913279625,-7.06,0.16
55974.49998842592,1.88,2.55,1.81,2.4,0.46,-6.8696662315049934,-7.1605219526258015,-7.136677139879544,-7.0,0.15
55981.49998842592,2.77,1.88,2.55,2.65,0.71,-6.966576244513051,-6.8696662315049934,-7.1605219526258015,-6.93,0.05
55988.49998842592,3.29,2.77,1.88,2.9,0.35,-6.958607314841775,-6.966576244513051,-6.8696662315049934,-6.89,0.13
55995.49998842592,2.63,3.29,2.77,2.87,0.36,-6.7447274948966935,-6.958607314841775,-6.966576244513051,-6.97,0.23
56009.49998842592,2.7,2.63,3.29,2.68,0.04,-7.204815410317576,-6.7447274948966935,-6.958607314841775,-6.96,0.23
56016.49998842592,2.71,2.7,2.63,2.46,0.42,-6.939302159646388,-7.204815410317576,-6.7447274948966935,-7.14,0.18
56030.49998842592,1.97,2.71,2.7,2.26,0.39,-7.275724130399211,-6.939302159646388,-7.204815410317576,-7.1,0.17
56044.49998842592,2.11,1.97,2.71,2.23,0.34,-7.071092309756048,-7.275724130399211,-6.939302159646388,-7.14,0.11
56051.49998842592,2.61,2.11,1.97,2.42,0.27,-7.087777943467585,-7.071092309756048,-7.275724130399211,-7.08,0.01
56058.49998842592,2.55,2.61,2.11,2.79,0.37,-7.089909454405932,-7.087777943467585,-7.071092309756048,-7.1,0.01
56072.49998842592,3.22,2.55,2.61,3.07,0.47,-7.110698297493689,-7.089909454405932,-7.087777943467585,-6.99,0.19
56079.49998842592,3.45,3.22,2.55,2.86,0.84,-6.779891911959945,-7.110698297493689,-7.089909454405932,-7.05,0.25
56100.49998842592,1.9,3.45,3.22,2.58,0.79,-7.262807357295263,-6.779891911959945,-7.110698297493689,-7.1,0.27
56121.499976851854,2.4,1.9,3.45,2.98,1.46,-7.248720896016658,-7.262807357295263,-6.779891911959945,-7.11,0.25
56226.499976851854,4.65,2.4,1.9,3.44,1.13,-6.823908740944319,-7.248720896016658,-7.262807357295263,-7.01,0.22
56352.499976851854,3.27,4.65,2.4,3.43,1.15,-6.958607314841775,-6.823908740944319,-7.248720896016658,-6.93,0.09
56359.499976851854,2.37,3.27,4.65,2.68,0.51,-7.0034883278458215,-6.958607314841775,-6.823908740944319,-6.94,0.07
56373.499976851854,2.39,2.37,3.27,2.5,0.21,-6.872895201635193,-7.0034883278458215,-6.958607314841775,-6.99,0.11
